Brand,Coefficient,Std_Error
Audi,10616.92862411846,101.90945167396137
BMW,10453.652452201619,101.57380680546932
Hyundai,470.3746547077376,134.8061793593052
Mercedes-Benz,12418.840505246357,95.75040637831422
Skoda,1995.6929225504266,122.31714186855949
Toyota,242.63465034683446,119.10551947300607
Vauxhall,-1873.2985220587461,94.70342332868292
Volkswagen,4559.19594999277,91.95475526168693
