Category,Coefficient,Std_Error
brand_BMW,-0.010401080734665604,0.006027985485505273
brand_Ford,-0.588028174720637,0.005395329989797233
brand_Hyundai,-0.5781746891348493,0.007639023092667914
brand_Mercedes-Benz,0.09209344124779684,0.005754731829673856
brand_Skoda,-0.4582265103035955,0.007025236506699864
brand_Toyota,-0.6033503166689793,0.006868820742275129
brand_Vauxhall,-0.7421377001633576,0.005705957570947555
brand_Volkswagen,-0.29989056465114233,0.005578426767609554
