ColumnHeader1,Correlation Coefficient,ColumnHeader2
year,0.49455486280879124,price
year,0.6300490338789767,price_log
year,-0.7440696043280349,mileage
year,-0.5986593967945226,mileage_log
year,-0.1339202346984858,mpg
year,-0.1733319525388017,mpg_log
year,-0.039501870872638865,engineSize
year,-0.04350436940773759,engineSize_log
year,-0.004627027596214695,fuelType_Electric
year,0.007406834455327737,fuelType_Other
year,0.005891693255504886,fuelType_Hybrid
year,0.07457234867669665,fuelType_Petrol
year,0.1722150437618686,transmission_Semi-Auto
year,0.001107416567440717,transmission_Other
year,-0.13936339878396714,transmission_Manual
price,0.49455486280879124,year
price,0.9159210141775245,price_log
price,-0.41795016859862144,mileage
price,-0.4182779980596173,mileage_log
price,-0.29643043510102696,mpg
price,-0.44253723254537414,mpg_log
price,0.6381685809254587,engineSize
price,0.6043465387162475,engineSize_log
price,-0.00012612411866025946,fuelType_Electric
price,0.003230897475892316,fuelType_Other
price,0.045058678969267546,fuelType_Hybrid
price,-0.22922502030032366,fuelType_Petrol
price,0.4126584114160802,transmission_Semi-Auto
price,-0.0005659809882720085,transmission_Other
price,-0.5466181007900772,transmission_Manual
price_log,0.6300490338789767,year
price_log,0.9159210141775245,price
price_log,-0.5115076874363043,mileage
price_log,-0.44494723716537,mileage_log
price_log,-0.24787287810645472,mpg
price_log,-0.3679612963458578,mpg_log
price_log,0.5772160571511445,engineSize
price_log,0.5668549732862417,engineSize_log
price_log,0.0018174325083021817,fuelType_Electric
price_log,0.0075464215661388435,fuelType_Other
price_log,0.0712734434503402,fuelType_Hybrid
price_log,-0.27419545652003935,fuelType_Petrol
price_log,0.4291980380339457,transmission_Semi-Auto
price_log,0.0015359438769355072,transmission_Other
price_log,-0.573337610178186,transmission_Manual
mileage,-0.7440696043280349,year
mileage,-0.41795016859862144,price
mileage,-0.5115076874363043,price_log
mileage,0.6942195433412041,mileage_log
mileage,0.18566036566174118,mpg
mileage,0.2291790829522631,mpg_log
mileage,0.10906842540844487,engineSize
mileage,0.12359382829776085,engineSize_log
mileage,-0.0006245574687397156,fuelType_Electric
mileage,-0.0042883724752861094,fuelType_Other
mileage,0.003694869113157846,fuelType_Hybrid
mileage,-0.22683089676216941,fuelType_Petrol
mileage,-0.14397874210288475,transmission_Semi-Auto
mileage,-0.0027405657264307276,transmission_Other
mileage,0.1058113838777015,transmission_Manual
mileage_log,-0.5986593967945226,year
mileage_log,-0.4182779980596173,price
mileage_log,-0.44494723716537,price_log
mileage_log,0.6942195433412041,mileage
mileage_log,0.20806324541914933,mpg
mileage_log,0.26624201713195356,mpg_log
mileage_log,0.01588504879238944,engineSize
mileage_log,0.024452024926484742,engineSize_log
mileage_log,0.0021269531135474106,fuelType_Electric
mileage_log,0.0006424978339842091,fuelType_Other
mileage_log,0.014243272355438433,fuelType_Hybrid
mileage_log,-0.12801166125258112,fuelType_Petrol
mileage_log,-0.12959334697853375,transmission_Semi-Auto
mileage_log,-0.0013127145848029565,transmission_Other
mileage_log,0.11165348013515215,transmission_Manual
mpg,-0.1339202346984858,year
mpg,-0.29643043510102696,price
mpg,-0.24787287810645472,price_log
mpg,0.18566036566174118,mileage
mpg,0.20806324541914933,mileage_log
mpg,0.890695709879037,mpg_log
mpg,-0.24825672079804825,engineSize
mpg,-0.24398609351942535,engineSize_log
mpg,0.11658385873879283,fuelType_Electric
mpg,0.09424228716483662,fuelType_Other
mpg,0.3757592951505933,fuelType_Hybrid
mpg,-0.299712454049225,fuelType_Petrol
mpg,-0.12862095144159022,transmission_Semi-Auto
mpg,0.0003014309844959857,transmission_Other
mpg,0.1071176160814781,transmission_Manual
mpg_log,-0.1733319525388017,year
mpg_log,-0.44253723254537414,price
mpg_log,-0.3679612963458578,price_log
mpg_log,0.2291790829522631,mileage
mpg_log,0.26624201713195356,mileage_log
mpg_log,0.890695709879037,mpg
mpg_log,-0.33885171627283533,engineSize
mpg_log,-0.3128412300782369,engineSize_log
mpg_log,0.046167083670942945,fuelType_Electric
mpg_log,0.05572786671270671,fuelType_Other
mpg_log,0.3053382005381983,fuelType_Hybrid
mpg_log,-0.3319487711944203,fuelType_Petrol
mpg_log,-0.1708371893812051,transmission_Semi-Auto
mpg_log,0.0004390526790110256,transmission_Other
mpg_log,0.19343707324158615,transmission_Manual
engineSize,-0.039501870872638865,year
engineSize,0.6381685809254587,price
engineSize,0.5772160571511445,price_log
engineSize,0.10906842540844487,mileage
engineSize,0.01588504879238944,mileage_log
engineSize,-0.24825672079804825,mpg
engineSize,-0.33885171627283533,mpg_log
engineSize,0.983141921087714,engineSize_log
engineSize,-0.0083220846185831,fuelType_Electric
engineSize,-0.013870458640890544,fuelType_Other
engineSize,0.03372652692095323,fuelType_Hybrid
engineSize,-0.5054495550831596,fuelType_Petrol
engineSize,0.321317793081925,transmission_Semi-Auto
engineSize,-0.0052573508568782255,transmission_Other
engineSize,-0.5063464497481039,transmission_Manual
engineSize_log,-0.04350436940773759,year
engineSize_log,0.6043465387162475,price
engineSize_log,0.5668549732862417,price_log
engineSize_log,0.12359382829776085,mileage
engineSize_log,0.024452024926484742,mileage_log
engineSize_log,-0.24398609351942535,mpg
engineSize_log,-0.3128412300782369,mpg_log
engineSize_log,0.983141921087714,engineSize
engineSize_log,-0.012959824791378364,fuelType_Electric
engineSize_log,-0.015246714572742976,fuelType_Other
engineSize_log,0.04406617460907322,fuelType_Hybrid
engineSize_log,-0.5499885811718724,fuelType_Petrol
engineSize_log,0.327222167981741,transmission_Semi-Auto
engineSize_log,-0.006774447507405306,transmission_Other
engineSize_log,-0.5107073702796026,transmission_Manual
fuelType_Electric,-0.004627027596214695,year
fuelType_Electric,-0.00012612411866025946,price
fuelType_Electric,0.0018174325083021817,price_log
fuelType_Electric,-0.0006245574687397156,mileage
fuelType_Electric,0.0021269531135474106,mileage_log
fuelType_Electric,0.11658385873879283,mpg
fuelType_Electric,0.046167083670942945,mpg_log
fuelType_Electric,-0.0083220846185831,engineSize
fuelType_Electric,-0.012959824791378364,engineSize_log
fuelType_Electric,-0.00038862673665313686,fuelType_Other
fuelType_Electric,-0.0013919465533446247,fuelType_Hybrid
fuelType_Electric,-0.008664885139146069,fuelType_Petrol
fuelType_Electric,-0.004234529259579345,transmission_Semi-Auto
fuelType_Electric,-7.4094116399295e-05,transmission_Other
fuelType_Electric,-0.008938246237039746,transmission_Manual
fuelType_Other,0.007406834455327737,year
fuelType_Other,0.003230897475892316,price
fuelType_Other,0.0075464215661388435,price_log
fuelType_Other,-0.0042883724752861094,mileage
fuelType_Other,0.0006424978339842091,mileage_log
fuelType_Other,0.09424228716483662,mpg
fuelType_Other,0.05572786671270671,mpg_log
fuelType_Other,-0.013870458640890544,engineSize
